fastq_id,sample_id,direction,filepath,filepath_google,filepath_sqc,MFC_id,elapsed_months,position,position_sub,read_length,size_bp
MFC2_18m_chamber2A_1_R1,MFC2_18m_chamber2A_1,R1,/work/GoryaninU/mitsuki/mizuho/dna/row/MFC2_18m_chamber2A_1_R1.fastq.gz,/work/GoryaninU/mitsuki/mizuho/dna/row/18months37_MFC2_chamber2A_GO_73_S9_L001_R1_001_0066.fastq.gz,/work/sqc_data/GoryaninU/151009_D00619_0066_AH00GWBCXX/Data/Intensities/BaseCalls/Mizuho_DNA/GO_73_S9_L001_R1_001.fastq.gz,2,18,chamber,chamber2A,251,2739936083
MFC2_18m_chamber2A_1_R2,MFC2_18m_chamber2A_1,R2,/work/GoryaninU/mitsuki/mizuho/dna/row/MFC2_18m_chamber2A_1_R2.fastq.gz,/work/GoryaninU/mitsuki/mizuho/dna/row/18months38_MFC2_chamber2A_GO_73_S9_L001_R2_001_0066.fastq.gz,/work/sqc_data/GoryaninU/151009_D00619_0066_AH00GWBCXX/Data/Intensities/BaseCalls/Mizuho_DNA/GO_73_S9_L001_R2_001.fastq.gz,2,18,chamber,chamber2A,251,3007397139
MFC2_18m_chamber2A_2_R1,MFC2_18m_chamber2A_2,R1,/work/GoryaninU/mitsuki/mizuho/dna/row/MFC2_18m_chamber2A_2_R1.fastq.gz,/work/GoryaninU/mitsuki/mizuho/dna/row/18months39_MFC2_chamber2A_GO_73_S9_L002_R1_001_0066.fastq.gz,/work/sqc_data/GoryaninU/151009_D00619_0066_AH00GWBCXX/Data/Intensities/BaseCalls/Mizuho_DNA/GO_73_S9_L002_R1_001.fastq.gz,2,18,chamber,chamber2A,251,2740372680
MFC2_18m_chamber2A_2_R2,MFC2_18m_chamber2A_2,R2,/work/GoryaninU/mitsuki/mizuho/dna/row/MFC2_18m_chamber2A_2_R2.fastq.gz,/work/GoryaninU/mitsuki/mizuho/dna/row/18months40_MFC2_chamber2A_GO_73_S9_L002_R2_001_0066.fastq.gz,/work/sqc_data/GoryaninU/151009_D00619_0066_AH00GWBCXX/Data/Intensities/BaseCalls/Mizuho_DNA/GO_73_S9_L002_R2_001.fastq.gz,2,18,chamber,chamber2A,251,3004164455
MFC2_18m_chamber3_1_R1,MFC2_18m_chamber3_1,R1,/work/GoryaninU/mitsuki/mizuho/dna/row/MFC2_18m_chamber3_1_R1.fastq.gz,/work/GoryaninU/mitsuki/mizuho/dna/row/18months41_MFC2_chamber3_GO_75_S11_L001_R1_001_0066.fastq.gz,/work/sqc_data/GoryaninU/151009_D00619_0066_AH00GWBCXX/Data/Intensities/BaseCalls/Mizuho_DNA/GO_75_S11_L001_R1_001.fastq.gz,2,18,chamber,chamber3,251,3150902776
MFC2_18m_chamber3_1_R2,MFC2_18m_chamber3_1,R2,/work/GoryaninU/mitsuki/mizuho/dna/row/MFC2_18m_chamber3_1_R2.fastq.gz,/work/GoryaninU/mitsuki/mizuho/dna/row/18months42_MFC2_chamber3_GO_75_S11_L001_R2_001_0066.fastq.gz,/work/sqc_data/GoryaninU/151009_D00619_0066_AH00GWBCXX/Data/Intensities/BaseCalls/Mizuho_DNA/GO_75_S11_L001_R2_001.fastq.gz,2,18,chamber,chamber3,251,3453341910
MFC2_18m_chamber3_2_R1,MFC2_18m_chamber3_2,R1,/work/GoryaninU/mitsuki/mizuho/dna/row/MFC2_18m_chamber3_2_R1.fastq.gz,/work/GoryaninU/mitsuki/mizuho/dna/row/18months43_MFC2_chamber3_GO_75_S11_L002_R1_001_0066.fastq.gz,/work/sqc_data/GoryaninU/151009_D00619_0066_AH00GWBCXX/Data/Intensities/BaseCalls/Mizuho_DNA/GO_75_S11_L002_R1_001.fastq.gz,2,18,chamber,chamber3,251,3152234679
MFC2_18m_chamber3_2_R2,MFC2_18m_chamber3_2,R2,/work/GoryaninU/mitsuki/mizuho/dna/row/MFC2_18m_chamber3_2_R2.fastq.gz,/work/GoryaninU/mitsuki/mizuho/dna/row/18months44_MFC2_chamber3_GO_75_S11_L002_R2_001_0066.fastq.gz,/work/sqc_data/GoryaninU/151009_D00619_0066_AH00GWBCXX/Data/Intensities/BaseCalls/Mizuho_DNA/GO_75_S11_L002_R2_001.fastq.gz,2,18,chamber,chamber3,251,3447045144
MFC2_18m_chamber4_1_R1,MFC2_18m_chamber4_1,R1,/work/GoryaninU/mitsuki/mizuho/dna/row/MFC2_18m_chamber4_1_R1.fastq.gz,/work/GoryaninU/mitsuki/mizuho/dna/row/18months45_MFC2_chamber4_GO_76_S12_L001_R1_001_0066.fastq.gz,/work/sqc_data/GoryaninU/151009_D00619_0066_AH00GWBCXX/Data/Intensities/BaseCalls/Mizuho_DNA/GO_76_S12_L001_R1_001.fastq.gz,2,18,chamber,chamber4,251,3067954775
MFC2_18m_chamber4_1_R2,MFC2_18m_chamber4_1,R2,/work/GoryaninU/mitsuki/mizuho/dna/row/MFC2_18m_chamber4_1_R2.fastq.gz,/work/GoryaninU/mitsuki/mizuho/dna/row/18months46_MFC2_chamber4_GO_76_S12_L001_R2_001_0066.fastq.gz,/work/sqc_data/GoryaninU/151009_D00619_0066_AH00GWBCXX/Data/Intensities/BaseCalls/Mizuho_DNA/GO_76_S12_L001_R2_001.fastq.gz,2,18,chamber,chamber4,251,3377781323
MFC2_18m_chamber4_2_R1,MFC2_18m_chamber4_2,R1,/work/GoryaninU/mitsuki/mizuho/dna/row/MFC2_18m_chamber4_2_R1.fastq.gz,/work/GoryaninU/mitsuki/mizuho/dna/row/18months47_MFC2_chamber4_GO_76_S12_L002_R1_001_0066.fastq.gz,/work/sqc_data/GoryaninU/151009_D00619_0066_AH00GWBCXX/Data/Intensities/BaseCalls/Mizuho_DNA/GO_76_S12_L002_R1_001.fastq.gz,2,18,chamber,chamber4,251,3062548740
